,accession,dec.date,country,V3,region
2487,MK614087,2018.879,China,2018.879,Eastern Asia
2488,MK713962,2018.778,China,2018.778,Eastern Asia
2489,LC495299,2018.795,Japan,2018.795,Eastern Asia
2490,MZ824218,2018.729,China,2018.729,Eastern Asia
2491,MT543138,2018.712,China,2018.712,Eastern Asia
2492,MK713953,2018.792,China,2018.792,Eastern Asia
2493,MK713952,2018.789,China,2018.789,Eastern Asia
2494,MK713951,2018.786,China,2018.786,Eastern Asia
2495,MH341713,[2016.582:2016.656],China,2016.656,Eastern Asia
2496,MH674143,2016.65,Sweden,2016.65,Europe
2497,KY272956,2016.713,France,2016.713,Europe
2498,KX830915,[2016.497:2016.579],Germany,2016.579,Europe
2499,MN403266,2016.776,Spain,2016.776,Europe
2500,KX830922,[2016.415:2016.495],Germany,2016.49465,Europe
2501,KX830917,[2016.508:2016.579],Germany,2016.508,Europe
2502,MN403287,2016.724,Spain,2016.724,Europe
2503,KX830920,[2016.497:2016.579],Germany,2016.497,Europe
2504,KX830916,[2016.497:2016.579],Germany,2016.497,Europe
2505,KX830919,[2016.497:2016.579],Germany,2016.497,Europe
2506,KX830918,[2016.497:2016.579],Germany,2016.497,Europe
2507,KX957755,2016.527,USA,2016.527,North America
2508,MH341717,[2016.582:2016.664],China,2016.582,Eastern Asia
2509,MG547196,[2016.582:2016.664],China,2016.582,Eastern Asia
2510,MN726775,2016.546,Netherlands,2016.546,Europe
2511,KY042029,[2016:2016.626],Canada,2016.251252,North America
2512,MW731838,[2016.582:2016.656],Germany,2016.656,Europe
2513,MW731842,[2016.582:2016.656],Germany,2016.582,Europe
2514,MW731852,[2016.59:2016.664],Germany,2016.664,Europe
2515,MH674140,2016.631,Sweden,2016.631,Europe
2516,MN726771,2016.574,Netherlands,2016.574,Europe
2517,MN726770,2016.546,Netherlands,2016.546,Europe
2518,MN403156,2016.552,Spain,2016.552,Europe
2519,KY385892,2016.44,USA,2016.44,North America
2520,KY042027,[2016:2016.997],Canada,2016.997,North America
2521,KX957761,2016.574,USA,2016.574,North America
2522,KY385883,2016.634,USA,2016.634,North America
2523,KY385891,2016.434,USA,2016.434,North America
2524,KX830896,[2016.497:2016.579],Germany,2016.579,Europe
